BayesSpace,BASS,BANKSY,SCAN-IT,CCST,STAGATE,GraphST,SEDR,STINR,SIGHT,ground_truth
6,2,10,3,4,6,0,2,2,8,MPA
4,7,7,3,4,6,0,2,2,4,MPA
3,2,8,3,4,6,7,7,2,8,MPA
1,2,8,7,4,6,7,7,2,8,MPA
0,7,10,3,4,2,0,2,2,4,MPA
0,2,8,7,4,6,7,7,2,8,MPA
1,2,8,7,4,6,7,7,2,8,MPA
0,5,0,3,4,6,0,2,2,4,MPA
6,2,8,7,4,6,7,7,2,8,MPA
2,7,4,3,4,6,0,2,2,8,MPA
1,7,8,3,4,6,0,2,2,4,MPA
1,2,8,2,4,6,7,7,2,8,MPA
7,7,9,3,4,6,0,2,2,4,MPA
7,7,9,3,4,6,0,2,2,8,MPA
1,2,8,7,4,6,7,7,2,8,MPA
2,7,4,3,4,6,0,2,2,8,MPA
1,2,8,3,4,6,7,2,2,8,MPA
1,2,8,7,4,6,7,7,2,8,MPA
2,7,4,3,4,6,0,2,2,8,MPA
2,7,4,3,4,6,0,2,2,4,MPA
1,2,8,7,4,6,7,7,2,8,MPA
4,7,7,3,4,6,0,2,2,4,MPA
1,2,8,3,4,6,7,7,2,8,MPA
1,2,8,3,4,6,7,7,2,8,MPA
2,7,10,3,4,6,0,2,2,8,MPA
1,2,8,7,4,6,7,7,2,8,MPA
6,2,8,7,4,6,7,2,2,8,MPA
6,2,8,7,4,6,7,7,2,8,MPA
2,7,4,3,4,6,0,2,2,8,MPA
6,7,1,3,4,3,0,2,2,4,MPA
0,7,2,2,4,3,0,3,2,1,MPA
2,7,4,2,4,2,0,2,2,4,MPA
1,2,8,7,4,6,7,7,2,8,MPA
1,7,8,3,4,6,0,2,2,4,MPA
1,2,8,7,4,6,7,7,2,8,MPA
6,2,8,7,4,6,7,7,2,8,MPA
1,2,8,7,4,6,7,7,2,8,MPA
0,7,2,2,4,3,0,3,2,1,MPA
6,2,4,3,4,6,7,7,2,8,MPA
0,2,4,3,4,6,7,2,2,8,MPA
7,7,9,3,4,6,0,2,2,4,MPA
2,7,4,3,4,6,0,2,2,8,MPA
2,7,4,2,4,6,0,2,2,8,MPA
1,2,8,3,4,6,7,7,2,8,MPA
1,2,8,7,4,6,7,7,2,8,MPA
0,2,8,7,4,6,7,7,2,8,MPA
1,2,8,7,4,6,7,7,2,8,MPA
1,2,8,3,4,6,7,7,2,8,MPA
0,2,8,7,4,6,7,7,2,8,MPA
1,2,8,3,4,6,7,7,2,8,MPA
2,7,4,3,4,6,0,2,2,8,MPA
7,7,9,3,4,6,0,2,2,4,MPA
2,7,4,3,4,6,0,2,2,8,MPA
1,7,8,3,4,6,0,2,2,4,MPA
4,7,7,3,4,2,0,2,2,4,MPA
1,2,8,7,4,6,7,7,2,8,MPA
6,7,10,2,4,3,0,2,2,1,MPA
2,7,4,2,4,3,0,2,2,1,MPA
0,7,1,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,2,2,1,MPA
2,7,4,2,4,3,0,2,2,1,MPA
2,7,4,2,4,3,0,2,2,1,MPA
2,7,4,3,4,2,0,2,2,4,MPA
4,7,7,2,4,3,0,2,2,1,MPA
4,7,7,2,4,3,0,2,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
2,7,4,2,4,3,0,3,2,1,MPA
5,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
4,7,7,2,4,3,0,2,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
2,7,4,2,4,3,0,2,2,4,MPA
2,7,4,2,4,3,0,2,2,4,MPA
6,7,1,2,4,3,0,3,2,1,MPA
1,7,8,2,4,3,0,2,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
1,7,8,2,4,3,0,2,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
2,7,8,2,4,3,0,2,2,1,MPA
1,7,8,2,4,3,0,2,2,1,MPA
5,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
4,7,7,2,4,3,0,2,2,1,MPA
6,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
0,7,0,2,4,3,0,2,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
1,7,8,2,4,3,0,2,2,4,MPA
0,7,2,2,4,3,0,3,2,1,MPA
6,7,10,2,4,3,0,2,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,1,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
1,7,8,3,4,2,0,2,2,4,MPA
0,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,2,2,1,MPA
1,7,8,2,4,3,0,2,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,2,2,1,MPA
2,7,4,2,4,3,0,2,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
5,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
0,7,1,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,6,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
4,7,7,2,4,3,0,2,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
1,7,8,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
2,7,4,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
2,7,4,2,4,3,0,3,2,1,MPA
2,7,4,2,4,3,0,3,2,1,MPN
0,7,2,2,4,3,0,3,2,1,MPA
2,7,4,2,4,3,0,2,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPN
6,7,1,2,4,3,0,3,2,1,MPN
2,7,4,2,4,3,0,3,1,1,MPN
2,7,4,2,4,3,0,3,2,1,MPN
6,7,1,2,4,3,0,3,2,1,MPA
5,7,2,2,4,3,0,3,1,2,MPN
0,7,2,2,4,3,0,3,1,2,MPN
2,7,4,2,4,3,0,3,7,1,MPN
0,7,2,2,4,3,0,3,7,1,MPN
5,7,2,2,4,3,0,3,7,1,MPN
0,7,2,2,4,3,0,3,7,1,MPN
6,7,1,2,4,3,0,3,1,2,MPN
0,7,2,2,4,3,0,3,7,2,MPN
6,7,1,2,4,3,0,3,7,1,MPN
6,7,2,2,4,3,0,3,7,2,MPN
0,7,2,2,4,3,0,3,7,2,MPN
2,7,4,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
7,7,9,2,4,3,0,3,2,1,MPA
0,7,2,2,4,3,0,3,2,1,MPN
0,7,10,2,4,3,0,3,7,2,MPN
0,7,2,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
5,7,2,2,4,3,0,3,2,1,MPN
5,7,2,2,4,3,0,3,2,1,MPN
6,7,2,2,4,3,0,3,2,1,MPN
0,7,2,2,4,3,0,3,7,2,MPN
0,7,2,2,4,3,0,3,7,1,MPN
0,7,2,2,4,3,0,3,2,1,MPA
4,7,7,2,4,3,0,2,2,1,MPA
5,7,2,2,4,3,0,3,1,1,MPN
0,7,2,2,4,3,0,3,6,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
7,7,9,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,2,2,1,MPA
5,7,2,2,4,3,0,3,7,1,MPN
0,7,2,2,4,3,0,3,2,1,MPA
4,7,7,2,2,3,0,2,2,1,MPA
7,7,9,2,2,3,0,2,2,1,MPA
2,7,4,2,2,3,0,2,2,1,MPA
5,7,2,2,2,3,0,3,2,1,MPA
0,7,2,2,2,3,0,3,2,1,MPA
7,7,9,2,4,3,0,3,2,1,MPA
1,7,8,2,2,3,0,2,2,4,MPA
2,7,4,2,4,3,0,2,2,1,MPA
2,7,4,2,2,3,0,2,2,4,MPA
2,7,4,2,4,3,0,3,2,1,MPA
2,7,4,2,2,3,0,2,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
5,7,2,2,4,3,0,3,2,1,MPA
5,7,2,2,2,3,0,3,2,1,MPA
6,7,10,2,4,3,0,3,2,1,MPA
6,7,1,2,2,3,0,3,2,1,MPA
0,7,2,2,2,3,0,3,2,1,MPA
5,7,2,2,2,3,0,3,2,1,MPA
5,7,2,2,2,3,0,3,2,1,MPA
1,7,8,2,2,3,0,2,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
7,7,9,2,4,3,0,3,2,1,MPA
4,7,7,2,2,3,0,2,2,1,MPA
1,7,8,2,4,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPN
0,7,2,2,4,3,0,3,2,1,MPN
4,7,7,2,4,3,0,3,2,1,MPA
7,0,9,2,2,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPA
2,7,4,2,2,3,0,2,2,4,MPA
1,7,8,2,2,3,0,2,2,1,MPA
6,7,1,2,4,3,0,3,2,2,MPN
5,7,2,2,4,3,0,3,2,2,MPN
4,7,7,2,2,3,0,2,2,1,MPA
0,7,2,2,2,3,0,3,2,1,MPA
7,7,9,2,2,3,0,3,2,1,MPA
2,7,4,2,2,3,0,2,2,4,MPA
4,7,7,2,2,3,0,2,2,1,MPA
2,7,4,2,4,3,0,2,2,1,MPA
6,7,2,2,2,3,0,3,2,1,MPA
6,7,1,2,4,3,0,3,2,1,MPN
0,7,0,2,4,3,0,3,2,1,MPN
6,7,1,2,4,3,0,3,2,1,MPN
0,7,2,2,4,3,0,3,2,1,MPA
0,7,2,2,2,3,0,3,2,1,MPA
5,7,2,2,2,3,0,3,2,1,MPA
6,7,1,2,2,3,0,3,2,1,MPA
6,0,1,2,4,3,0,3,2,1,MPA
6,0,1,2,2,3,0,3,1,1,MPA
0,7,2,2,2,3,0,3,2,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
5,7,2,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
5,0,2,2,2,3,0,3,1,1,MPA
0,0,0,2,2,3,0,3,1,1,MPA
5,0,0,2,2,3,0,3,1,1,MPA
6,0,2,2,2,3,0,3,1,1,MPA
4,0,7,2,2,3,0,3,1,1,MPA
2,0,4,2,2,3,0,3,1,1,MPA
6,7,1,2,2,3,0,3,1,1,MPA
2,0,4,2,2,3,0,3,1,1,MPA
2,0,4,2,2,3,0,2,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
5,0,2,2,2,3,0,3,1,1,MPA
0,0,0,2,2,3,0,3,1,1,MPA
6,0,1,2,2,3,0,3,1,1,MPA
0,0,3,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
0,7,2,2,2,3,0,3,1,1,MPA
2,5,4,2,2,3,0,2,1,1,MPA
5,0,2,2,2,3,0,3,1,1,MPA
0,5,0,1,2,3,0,2,1,1,MPA
5,5,2,2,2,3,0,3,1,1,MPA
2,0,4,2,2,3,0,2,1,1,MPA
6,0,1,2,2,3,0,3,1,1,MPA
2,0,10,2,2,3,0,2,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
1,5,8,2,2,3,0,2,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
4,0,7,2,2,3,0,2,1,1,MPA
5,0,2,2,2,3,0,3,1,1,MPA
6,5,1,2,2,3,0,4,1,1,MPA
0,0,0,1,2,3,0,4,1,1,MPA
1,0,8,1,2,3,0,2,1,1,MPA
1,0,8,2,2,3,0,2,1,1,MPA
0,0,0,2,2,3,0,3,1,1,MPA
6,0,1,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
5,0,0,2,2,3,0,3,1,1,MPA
1,2,8,2,2,3,0,2,1,1,MPA
1,2,8,2,2,3,0,3,1,1,MPA
2,5,4,1,2,3,0,2,1,1,MPA
5,0,0,1,2,3,0,4,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
5,0,0,2,2,3,0,3,1,1,MPA
5,0,0,2,2,3,0,3,1,1,MPA
0,0,3,2,2,3,0,3,1,1,MPA
6,0,2,2,2,3,0,3,1,1,MPA
0,0,2,2,2,3,0,3,1,1,MPA
0,0,0,2,2,3,0,4,1,1,MPA
0,0,0,2,2,3,0,2,1,1,MPA
5,0,0,2,2,3,0,3,1,1,MPA
5,5,2,2,7,3,0,3,1,1,MPA
0,5,2,2,7,3,0,3,1,1,MPA
6,5,1,2,7,3,0,4,1,1,MPA
0,5,2,1,7,0,0,3,1,1,BST
7,5,9,2,7,3,0,3,1,1,MPA
0,5,2,2,7,3,0,3,1,1,MPA
7,5,9,1,7,0,0,3,1,1,BST
0,5,2,1,7,0,0,3,1,1,BST
0,5,0,2,7,3,0,4,1,1,MPA
5,5,2,1,7,0,0,2,1,0,BST
1,5,8,1,7,0,0,2,1,1,BST
0,5,0,1,7,0,0,2,1,0,BST
2,5,4,2,7,3,0,2,1,1,MPA
0,5,0,1,7,3,0,4,1,0,BST
1,5,8,1,7,2,0,7,1,0,BST
5,5,0,1,7,0,0,4,6,1,BST
6,5,1,1,7,0,0,3,1,0,BST
0,5,0,1,7,3,0,4,1,0,MPA
0,5,0,1,7,0,0,2,6,0,BST
5,2,2,1,7,0,0,3,1,0,BST
2,5,4,1,7,0,0,2,6,0,BST
2,5,0,1,7,0,0,4,6,0,BST
2,5,4,1,7,3,0,2,1,0,BST
7,5,9,1,7,0,0,4,6,0,BST
0,5,3,2,7,3,0,3,1,1,MPA
0,5,0,1,7,0,0,2,1,0,BST
0,5,0,1,7,0,0,2,6,0,BST
2,5,4,1,7,0,0,2,6,0,BST
1,2,8,1,7,0,0,7,6,0,BST
0,5,0,1,7,0,0,4,1,1,BST
0,5,0,1,7,0,0,2,1,0,BST
0,2,0,1,7,0,0,2,6,0,BST
0,5,0,1,7,0,0,4,6,0,BST
5,5,0,1,7,0,0,4,1,1,BST
1,2,8,1,7,0,0,7,6,0,BST
2,5,4,1,7,0,0,2,1,0,BST
2,5,4,1,7,0,0,2,6,0,BST
0,5,2,1,7,0,0,3,1,1,BST
1,2,8,1,7,0,0,7,6,0,BST
2,5,4,1,7,0,1,2,6,0,BST
0,5,0,1,7,0,0,4,6,0,BST
6,5,1,1,7,0,0,3,1,1,BST
0,5,0,1,7,3,0,3,1,1,MPA
5,5,0,1,7,3,0,4,1,1,MPA
0,2,8,1,7,0,0,2,1,0,BST
1,2,8,1,7,0,0,2,1,0,BST
0,5,0,1,7,0,0,2,1,1,BST
6,5,1,1,7,0,0,3,1,1,BST
0,5,2,1,7,0,0,3,1,1,BST
1,5,8,1,7,0,0,2,1,1,BST
4,5,7,1,7,0,0,2,6,1,BST
2,5,4,1,7,0,0,2,6,0,BST
1,5,8,1,7,0,0,2,6,0,BST
1,5,8,1,7,0,0,4,6,0,BST
5,5,2,2,7,3,0,3,1,1,MPA
5,5,2,2,7,3,0,3,1,1,MPA
2,5,10,1,7,2,0,3,1,0,BST
7,5,9,2,7,3,0,3,1,1,MPA
6,5,1,1,7,0,0,3,1,0,BST
0,5,0,1,7,0,0,4,6,0,BST
2,5,4,1,7,0,0,2,6,0,BST
0,5,0,1,7,0,0,4,6,0,BST
2,5,10,2,7,3,0,3,1,1,MPA
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
1,5,8,1,7,0,0,4,1,0,BST
5,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,0,4,6,0,BST
0,5,0,1,7,0,0,4,1,0,BST
1,5,8,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,0,4,6,0,BST
5,5,0,1,3,0,1,4,6,0,BST
1,5,8,1,7,0,1,4,6,0,BST
0,5,10,1,3,0,1,4,6,0,BST
1,5,8,1,7,0,1,4,6,0,BST
5,5,0,1,3,0,1,4,6,0,BST
2,5,4,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
5,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
1,5,8,1,7,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
2,5,4,1,7,0,1,4,6,0,BST
0,5,0,1,7,0,1,4,6,0,BST
0,5,0,1,3,0,1,4,6,0,BST
