BayesSpace,BASS,BANKSY,SCAN-IT,CCST,STAGATE,GraphST,SEDR,STINR,SIGHT,ground_truth
0,2,0,4,1,0,0,0,3,1,invasive cancer
0,2,0,4,1,1,0,0,3,1,invasive cancer
2,0,0,4,4,1,0,0,3,1,invasive cancer
2,0,0,4,1,2,0,0,3,1,invasive cancer
2,0,0,4,4,1,0,1,3,1,invasive cancer
1,0,0,4,3,3,0,1,3,1,invasive cancer
1,0,0,4,3,3,0,1,3,1,invasive cancer
1,0,0,4,3,1,0,1,3,1,invasive cancer
1,0,0,3,1,1,0,1,3,1,invasive cancer
1,0,0,3,3,4,0,1,4,1,invasive cancer
1,0,0,3,1,0,0,1,4,2,invasive cancer
1,0,0,3,1,2,0,1,4,2,invasive cancer
1,0,0,3,4,1,0,2,4,2,invasive cancer
2,0,0,3,4,1,0,2,4,2,invasive cancer
1,4,0,3,3,3,0,2,4,2,adipose tissue
1,0,0,3,4,3,0,2,4,2,adipose tissue
0,2,0,4,3,1,0,0,3,1,invasive cancer
2,2,0,4,3,1,0,0,3,1,invasive cancer
2,0,0,4,3,1,0,0,3,1,invasive cancer
2,0,0,4,1,4,0,0,3,1,invasive cancer
2,0,0,4,1,3,0,1,3,1,invasive cancer
2,0,0,4,1,4,0,1,3,1,invasive cancer
2,0,0,4,3,2,0,1,3,1,invasive cancer
1,0,0,3,4,4,0,1,3,1,invasive cancer
1,0,0,3,1,0,0,1,3,1,invasive cancer
1,0,0,3,1,4,0,1,4,1,invasive cancer
1,0,0,3,1,1,0,1,4,1,invasive cancer
1,0,0,3,1,0,0,1,4,2,invasive cancer
1,0,0,3,1,2,0,1,4,2,invasive cancer
1,0,0,3,1,1,0,2,4,2,invasive cancer
1,0,0,3,0,3,0,2,4,2,adipose tissue
0,2,0,4,4,1,0,0,3,1,invasive cancer
0,2,0,4,1,0,0,0,3,1,invasive cancer
2,2,0,4,1,0,0,0,3,1,invasive cancer
2,0,0,4,3,1,0,0,3,1,invasive cancer
2,0,0,4,1,2,0,0,3,1,invasive cancer
2,0,0,4,1,2,0,1,3,1,invasive cancer
2,0,0,4,4,2,0,1,3,1,invasive cancer
2,0,0,3,1,0,0,1,3,1,invasive cancer
1,0,0,3,1,1,0,1,3,1,invasive cancer
2,0,0,3,1,0,0,1,3,1,invasive cancer
2,0,0,3,1,2,0,1,4,1,invasive cancer
2,0,0,3,1,1,0,1,4,1,invasive cancer
