BayesSpace,BASS,BANKSY,SCAN-IT,CCST,STAGATE,GraphST,SEDR,STINR,SIGHT,ground_truth
0,0,1,2,0,0,0,0,3,0,breast glands
0,0,1,2,0,0,0,0,3,0,connective tissue
0,0,1,2,0,0,0,0,3,0,connective tissue
0,0,1,2,3,0,0,0,3,0,connective tissue
0,0,1,2,1,0,0,0,3,0,connective tissue
0,0,1,3,3,1,0,0,2,0,breast glands
1,1,0,3,2,1,0,0,2,2,breast glands
1,1,0,3,3,1,0,0,2,2,connective tissue
1,1,0,3,3,3,0,0,2,2,breast glands
2,3,0,3,3,3,0,1,2,2,breast glands
2,3,0,3,3,2,0,1,2,2,connective tissue
2,3,0,1,1,2,0,1,2,2,breast glands
2,3,0,1,1,3,0,1,2,2,connective tissue
2,3,0,1,3,3,0,1,2,2,connective tissue
2,3,2,1,3,3,0,1,2,3,connective tissue
0,0,1,2,2,0,0,0,3,0,connective tissue
0,0,1,2,1,0,0,0,3,0,breast glands
0,0,1,2,3,0,0,0,3,0,connective tissue
0,0,1,3,2,0,0,0,3,0,connective tissue
1,1,0,3,0,2,0,0,2,2,connective tissue
1,1,0,3,0,2,0,0,2,2,connective tissue
1,1,0,3,1,3,0,0,2,2,connective tissue
2,3,0,3,3,3,0,1,2,2,connective tissue
2,3,0,3,0,2,0,1,2,2,connective tissue
2,3,0,3,1,2,0,1,2,2,breast glands
2,3,0,3,3,2,0,1,2,2,connective tissue
2,3,0,3,3,3,0,1,2,2,connective tissue
2,3,0,3,3,2,0,1,2,2,connective tissue
0,0,1,2,0,0,0,0,3,0,connective tissue
0,0,1,2,2,0,0,0,3,0,breast glands
0,0,1,2,1,0,0,0,3,0,breast glands
0,0,1,3,2,0,0,0,3,0,connective tissue
0,0,1,3,2,1,0,0,3,0,connective tissue
1,1,1,3,1,2,0,0,3,0,connective tissue
1,1,1,3,3,1,0,0,3,2,connective tissue
1,1,0,3,3,2,0,0,1,2,connective tissue
1,1,0,3,1,2,0,1,1,2,connective tissue
