BayesSpace,BASS,BANKSY,SCAN-IT,CCST,STAGATE,GraphST,SEDR,STINR,SIGHT,ground_truth
3,3,2,4,5,0,1,0,5,4,connective tissue
3,3,2,4,4,1,1,0,5,4,connective tissue
3,3,2,4,5,3,1,0,5,4,connective tissue
3,3,2,4,4,2,1,0,5,4,connective tissue
3,3,2,4,5,1,1,1,5,4,connective tissue
2,2,1,1,4,1,1,1,2,3,cancer in situ
2,2,1,1,5,1,1,2,2,3,cancer in situ
2,2,1,1,4,2,0,2,2,3,cancer in situ
4,2,1,1,5,4,0,2,2,3,cancer in situ
1,0,1,1,4,4,0,1,3,3,cancer in situ
1,0,1,1,5,4,0,1,3,1,connective tissue
1,0,1,1,4,2,0,1,3,1,connective tissue
2,0,1,1,5,1,0,3,3,1,cancer in situ
2,0,1,1,4,1,0,3,3,1,cancer in situ
2,0,1,1,5,0,0,3,3,1,cancer in situ
2,0,1,1,4,3,0,3,3,1,cancer in situ
2,0,1,1,5,2,0,3,3,1,cancer in situ
1,0,1,1,4,4,0,1,3,1,cancer in situ
2,0,1,1,5,1,0,1,3,1,invasive cancer
1,0,1,1,4,4,0,1,3,1,invasive cancer
1,0,1,1,5,4,0,1,3,1,invasive cancer
1,0,1,3,4,2,0,1,3,1,invasive cancer
3,3,2,4,5,5,1,0,5,0,connective tissue
3,3,2,4,4,1,1,0,5,0,connective tissue
3,3,2,4,5,1,1,0,5,0,connective tissue
1,2,2,4,4,2,1,0,5,4,connective tissue
1,2,2,1,5,2,1,1,2,3,cancer in situ
2,2,1,1,4,1,1,2,2,3,cancer in situ
2,2,1,1,5,4,2,2,2,3,cancer in situ
2,2,1,1,4,4,2,2,2,3,cancer in situ
4,2,1,1,5,4,2,2,2,3,cancer in situ
4,2,1,1,4,4,0,2,3,3,cancer in situ
3,2,1,1,5,4,0,1,3,3,cancer in situ
1,0,1,1,4,4,0,1,3,1,cancer in situ
1,0,1,1,5,2,0,1,3,1,connective tissue
2,0,1,1,4,3,0,3,3,1,cancer in situ
2,0,1,1,5,0,0,3,3,1,cancer in situ
2,0,1,1,4,1,0,3,3,1,cancer in situ
2,0,1,1,5,1,0,3,3,1,cancer in situ
2,0,1,1,4,1,0,1,3,1,cancer in situ
2,0,1,1,5,2,0,1,3,1,cancer in situ
1,0,1,1,4,4,0,1,3,1,cancer in situ
1,0,1,3,5,1,0,1,3,1,invasive cancer
1,0,1,3,4,1,0,1,3,1,invasive cancer
3,3,2,4,5,1,1,0,5,0,connective tissue
3,3,2,4,4,1,1,0,5,0,connective tissue
3,3,2,4,5,3,1,0,5,0,connective tissue
3,3,2,4,4,0,1,0,5,0,connective tissue
3,3,2,1,5,3,1,0,5,0,connective tissue
2,2,1,1,4,2,1,2,2,3,cancer in situ
2,2,1,1,5,2,2,2,2,3,cancer in situ
2,2,1,1,4,2,2,2,2,3,cancer in situ
2,2,1,1,5,4,2,2,2,3,cancer in situ
4,2,1,1,4,4,2,2,3,3,cancer in situ
4,2,1,1,5,4,0,2,3,3,cancer in situ
1,0,1,3,4,4,0,1,3,3,cancer in situ
1,0,1,3,5,2,0,1,3,1,cancer in situ
1,0,1,3,4,1,0,3,3,1,connective tissue
2,0,1,3,5,0,0,3,3,1,cancer in situ
2,0,1,3,4,1,0,3,3,1,cancer in situ
2,0,1,3,5,3,0,3,3,1,cancer in situ
2,0,1,3,4,1,0,3,3,1,cancer in situ
2,0,1,3,5,0,0,1,3,1,cancer in situ
2,0,1,3,4,2,0,1,3,1,cancer in situ
1,0,1,3,5,1,0,1,3,1,cancer in situ
3,3,0,4,4,1,1,0,5,0,connective tissue
3,3,0,4,5,5,1,0,5,0,connective tissue
3,3,0,4,4,1,1,0,5,0,connective tissue
3,3,2,4,5,0,1,0,5,0,connective tissue
3,3,2,1,4,3,1,0,5,0,connective tissue
2,2,1,1,5,2,1,2,2,3,cancer in situ
2,2,1,1,4,2,2,2,2,3,cancer in situ
2,2,1,1,5,2,2,2,2,3,cancer in situ
4,2,1,1,4,4,2,2,2,3,cancer in situ
2,2,1,1,5,2,2,2,3,3,cancer in situ
4,2,1,3,4,2,0,2,3,3,cancer in situ
1,2,1,3,5,4,0,2,3,3,cancer in situ
1,0,1,3,4,2,0,1,3,3,cancer in situ
2,0,1,3,1,1,0,3,3,1,cancer in situ
2,0,1,3,3,1,0,3,3,1,cancer in situ
2,0,1,3,1,2,0,1,3,1,cancer in situ
2,0,1,3,3,3,0,1,3,1,cancer in situ
1,0,1,3,1,4,0,1,3,1,cancer in situ
1,0,1,3,3,4,0,1,3,1,cancer in situ
