BayesSpace,BASS,BANKSY,SCAN-IT,CCST,STAGATE,GraphST,SEDR,STINR,SIGHT,ground_truth
2,5,2,1,2,8,1,0,0,7,Layer 6
9,6,2,8,2,3,10,6,0,11,Internal Capsule Caudoputamen
3,3,4,5,10,10,4,2,0,1,Layer 4
4,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
6,6,2,8,2,10,10,4,0,11,Internal Capsule Caudoputamen
5,10,4,6,2,1,3,1,0,3,Layer 4
4,6,2,6,2,8,9,4,0,10,White matter
8,3,4,1,5,8,4,2,0,1,Layer 4
6,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
1,1,4,3,0,6,3,1,0,2,Layer 2-3 medial
2,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
9,6,2,8,2,8,9,4,0,11,White matter
9,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
7,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
10,5,4,7,7,8,1,0,0,7,Layer 6
0,1,4,9,2,10,5,9,0,5,Hippocampus
2,3,4,5,10,1,7,2,0,1,Layer 4
5,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
8,4,1,2,2,10,6,4,0,10,White matter
2,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
1,1,0,1,2,8,3,1,0,3,Layer 5
4,1,4,1,2,1,3,1,0,3,Layer 5
0,5,4,7,2,2,1,0,0,7,Layer 6
10,10,4,1,2,8,3,0,0,3,Layer 6
7,1,4,1,2,8,3,1,0,3,Layer 5
5,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
2,10,4,1,10,10,3,1,0,3,Layer 5
8,1,4,3,2,3,3,5,0,2,Layer 2-3 medial
9,6,2,8,2,10,10,6,0,11,Internal Capsule Caudoputamen
6,1,0,3,2,3,3,5,0,2,Layer 2-3 medial
2,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
5,5,4,7,7,10,1,0,0,7,Layer 6
4,1,4,1,2,8,3,1,0,3,Layer 5
2,3,4,1,2,10,7,1,0,3,Layer 4
6,1,4,3,2,1,3,5,0,2,Layer 2-3 medial
5,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
1,4,4,1,2,8,6,4,0,10,White matter
0,5,4,3,7,5,1,0,0,7,Layer 6
8,4,2,2,6,8,9,4,0,10,White matter
2,3,4,5,2,2,4,5,0,1,Layer 2-3 medial
1,3,4,5,0,8,4,5,0,1,Layer 3-4
8,1,4,3,0,10,3,5,0,2,Layer 2-3 medial
6,6,2,8,2,3,10,6,0,11,Internal Capsule Caudoputamen
6,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
4,4,1,6,2,8,6,4,0,10,White matter
3,3,3,1,2,3,4,1,0,1,Layer 4
5,10,4,1,2,3,1,0,0,7,Layer 6
5,5,2,1,10,3,1,0,0,7,Layer 6
4,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
1,1,4,3,0,10,3,5,0,2,Layer 2-3 medial
10,1,4,7,2,8,1,0,0,7,Layer 6
5,0,4,8,3,8,9,4,0,10,White matter
1,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
9,6,2,8,2,10,10,6,0,11,Internal Capsule Caudoputamen
4,6,2,8,6,10,10,6,0,11,Internal Capsule Caudoputamen
4,1,4,3,3,8,3,5,0,2,Layer 2-3 medial
4,1,4,10,2,8,3,1,0,2,Layer 2-3 lateral
2,10,4,1,2,2,3,1,0,3,Layer 5
8,1,3,5,0,10,3,5,0,8,Layer 2-3 lateral
10,1,4,3,2,8,3,1,0,2,Layer 2-3 medial
2,1,4,1,2,1,3,1,0,3,Layer 5
3,3,4,5,10,1,7,2,0,1,Layer 4
6,10,4,5,2,10,7,2,0,3,Layer 4
0,5,4,7,7,5,1,0,0,7,Layer 6
2,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
1,1,4,1,2,2,3,1,0,3,Layer 5
5,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
4,1,4,1,3,2,3,1,0,1,Layer 4
2,9,4,6,2,8,3,1,0,2,Pia Layer 1
1,1,4,3,0,8,3,5,0,2,Layer 2-3 medial
4,1,4,3,2,8,3,5,0,2,Layer 2-3 medial
0,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
5,3,4,5,2,1,4,5,0,1,Layer 2-3 medial
6,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
6,2,4,6,2,8,6,4,0,10,White matter
10,5,4,7,2,8,1,0,0,7,Layer 6
5,1,4,3,2,2,3,1,0,2,Layer 2-3 lateral
4,5,4,7,7,10,1,0,0,7,Layer 6
3,3,4,6,2,10,3,1,0,1,Layer 4
1,8,2,7,6,8,1,0,0,7,Layer 6
1,3,4,5,2,10,4,5,0,1,Layer 2-3 medial
1,6,2,6,2,8,10,6,0,11,Internal Capsule Caudoputamen
8,6,2,8,2,8,10,6,0,11,Internal Capsule Caudoputamen
6,5,4,1,2,8,1,0,0,7,Layer 6
2,5,4,1,2,3,1,0,0,7,Layer 6
4,9,4,3,2,8,2,4,0,4,Pia Layer 1
1,1,4,1,2,3,3,1,0,3,Layer 5
6,1,4,1,2,10,3,1,0,2,Layer 2-3 lateral
6,4,4,6,3,6,9,4,0,10,White matter
10,8,4,9,6,2,6,4,0,10,White matter
1,4,4,4,2,8,6,4,0,10,White matter
10,1,4,3,2,8,1,1,0,3,Layer 5
5,1,4,3,7,8,3,5,0,2,Layer 2-3 medial
